"pathway_id","count","pathway_name"
"hsa04022",34,"cGMP-PKG signaling pathway - Homo sapiens (human)"
"hsa04068",34,"FoxO signaling pathway - Homo sapiens (human)"
"hsa04371",34,"Apelin signaling pathway - Homo sapiens (human)"
"hsa04974",34,"Protein digestion and absorption - Homo sapiens (human)"
"hsa05140",34,"Leishmaniasis - Homo sapiens (human)"
"hsa05207",34,"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"
"hsa04066",33,"HIF-1 signaling pathway - Homo sapiens (human)"
"hsa04110",33,"Cell cycle - Homo sapiens (human)"
"hsa04915",33,"Estrogen signaling pathway - Homo sapiens (human)"
"hsa05017",33,"Spinocerebellar ataxia - Homo sapiens (human)"
"hsa05160",33,"Hepatitis C - Homo sapiens (human)"
"hsa04061",32,"Viral protein interaction with cytokine and cytokine receptor - Homo sapiens (human)"
"hsa04082",32,"Neuroactive ligand signaling - Homo sapiens (human)"
"hsa00190",31,"Oxidative phosphorylation - Homo sapiens (human)"
"hsa01522",31,"Endocrine resistance - Homo sapiens (human)"
"hsa04926",31,"Relaxin signaling pathway - Homo sapiens (human)"
"hsa05142",31,"Chagas disease - Homo sapiens (human)"
"hsa05235",31,"PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)"
"hsa04081",30,"Hormone signaling - Homo sapiens (human)"
"hsa04261",30,"Adrenergic signaling in cardiomyocytes - Homo sapiens (human)"
"hsa04550",30,"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"
"hsa04640",30,"Hematopoietic cell lineage - Homo sapiens (human)"
"hsa04928",28,"Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)"
"hsa05222",28,"Small cell lung cancer - Homo sapiens (human)"
"hsa04070",27,"Phosphatidylinositol signaling system - Homo sapiens (human)"
"hsa04270",27,"Vascular smooth muscle contraction - Homo sapiens (human)"
"hsa04724",27,"Glutamatergic synapse - Homo sapiens (human)"
"hsa04910",27,"Insulin signaling pathway - Homo sapiens (human)"
"hsa04912",27,"GnRH signaling pathway - Homo sapiens (human)"
"hsa05146",27,"Amoebiasis - Homo sapiens (human)"
"hsa00230",26,"Purine metabolism - Homo sapiens (human)"
"hsa00564",26,"Glycerophospholipid metabolism - Homo sapiens (human)"
"hsa04670",26,"Leukocyte transendothelial migration - Homo sapiens (human)"
"hsa04935",26,"Growth hormone synthesis, secretion and action - Homo sapiens (human)"
"hsa05210",26,"Colorectal cancer - Homo sapiens (human)"
"hsa05215",26,"Prostate cancer - Homo sapiens (human)"
"hsa05231",26,"Choline metabolism in cancer - Homo sapiens (human)"
"hsa03013",25,"Nucleocytoplasmic transport - Homo sapiens (human)"
"hsa04114",25,"Oocyte meiosis - Homo sapiens (human)"
"hsa04152",25,"AMPK signaling pathway - Homo sapiens (human)"
"hsa04662",25,"B cell receptor signaling pathway - Homo sapiens (human)"
"hsa05120",25,"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"
"hsa05212",25,"Pancreatic cancer - Homo sapiens (human)"
"hsa05221",25,"Acute myeloid leukemia - Homo sapiens (human)"
"hsa03082",24,"ATP-dependent chromatin remodeling - Homo sapiens (human)"
"hsa04350",24,"TGF-beta signaling pathway - Homo sapiens (human)"
"hsa04611",24,"Platelet activation - Homo sapiens (human)"
"hsa04622",24,"RIG-I-like receptor signaling pathway - Homo sapiens (human)"
"hsa04650",24,"Natural killer cell mediated cytotoxicity - Homo sapiens (human)"
"hsa04728",24,"Dopaminergic synapse - Homo sapiens (human)"
"hsa04914",24,"Progesterone-mediated oocyte maturation - Homo sapiens (human)"
"hsa04925",24,"Aldosterone synthesis and secretion - Homo sapiens (human)"
"hsa05034",24,"Alcoholism - Homo sapiens (human)"
"hsa05220",24,"Chronic myeloid leukemia - Homo sapiens (human)"
"hsa05321",24,"Inflammatory bowel disease - Homo sapiens (human)"
"hsa03083",23,"Polycomb repressive complex - Homo sapiens (human)"
"hsa04666",23,"Fc gamma R-mediated phagosome formation - Homo sapiens (human)"
"hsa01240",22,"Biosynthesis of cofactors - Homo sapiens (human)"
"hsa03015",22,"mRNA surveillance pathway - Homo sapiens (human)"
"hsa04115",22,"p53 signaling pathway - Homo sapiens (human)"
"hsa04512",22,"ECM-receptor interaction - Homo sapiens (human)"
