"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","GeneRatio"
"GO:0140662",0.975981234985678,0.0669266128382125,4,33,"ATP-dependent protein folding chaperone","MF",1,0.000933271115258983
"GO:0001653",0.976341178647419,0.0424179528462659,16,96,"peptide receptor activity","MF",1,0.00373308446103593
"GO:0034236",0.976485302838628,0.125785799913132,1,13,"protein kinase A catalytic subunit binding","MF",1,0.000233317778814746
"GO:0008175",0.976752032309769,0.0653103182420521,4,32,"tRNA methyltransferase activity","MF",1,0.000933271115258983
"GO:0004065",0.977081588386655,0.12338310550075,1,13,"arylsulfatase activity","MF",1,0.000233317778814746
"GO:0030594",0.977400528044913,0.0440071465950623,12,74,"neurotransmitter receptor activity","MF",1,0.00279981334577695
"GO:0170055",0.977564251137738,0.0543331800564183,6,44,"lipid transmembrane transporter activity","MF",1,0.00139990667288847
"GO:0030414",0.977978633421429,0.0364704554563757,23,130,"peptidase inhibitor activity","MF",1,0.00536630891273915
"GO:0009975",0.978136883053432,0.0838672825885531,2,20,"cyclase activity","MF",1,0.000466635557629491
"GO:0016741",0.978540455554388,0.0322259581303732,38,197,"transferase activity, transferring one-carbon groups","MF",1,0.00886607559496034
"GO:0008168",0.978877159157111,0.0320677111316017,36,188,"methyltransferase activity","MF",1,0.00839944003733084
"GO:0033293",0.979877163020946,0.0417246193034537,10,66,"monocarboxylic acid binding","MF",1,0.00233317778814746
"GO:0015556",0.980216861593405,0.109403338204347,1,14,"C4-dicarboxylate transmembrane transporter activity","MF",1,0.000233317778814746
"GO:0005198",0.980517563267405,0.0243411307668836,148,685,"structural molecule activity","MF",1,0.0345310312645824
"GO:0042043",0.98084659915092,0.107745684218545,1,13,"neurexin family protein binding","MF",1,0.000233317778814746
"GO:0031683",0.983074235164477,0.0678231873301035,2,21,"G-protein beta/gamma-subunit complex binding","MF",1,0.000466635557629491
"GO:0033218",0.983278179199567,0.0250062124003503,42,219,"amide binding","MF",1,0.00979934671021932
"GO:0016747",0.983307878516255,0.0250697497146068,41,215,"acyltransferase activity, transferring groups other than amino-acyl groups","MF",1,0.00956602893140457
"GO:0051287",0.984309983608533,0.0374730517038872,7,52,"NAD binding","MF",1,0.00163322445170322
