"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol","ENTREZID"
1.46009399434518,0.522067988822751,2.11455718846002,0.246892347803069,0.804991538612844,NA,"5S_rRNA",NA
197.624663187205,-0.252685668193806,0.337229957734833,-0.749297808211023,0.453677728565068,0.618388354622747,"A1BG","1"
40.6240560678451,0.305908059438842,0.756784441030793,0.404220862445552,0.686050313705419,0.803370172890636,"A1CF","29974"
10990.232162607,0.519637572754546,0.377538416570807,1.37638330285546,0.168702994614578,0.319933764120287,"A2M","2"
81.1519012829069,-0.371160310016133,0.388623586012986,-0.955063777327531,0.339545445496151,0.511247696082702,"A2ML1","144568"
50.2197819529279,1.31805615277104,0.881899146858492,1.49456562858263,0.135027842074632,0.27427295657037,"A2MP1","124903067"
779.469636944757,-2.25010113876965,0.551561017279516,-4.07951444768143,4.51298651234352e-05,0.000573048357656808,"A4GALT","53947"
5.74617641620069,1.30026544226195,1.86888014587045,0.69574576258144,0.486588061016192,0.645951146207156,"A4GNT","51146"
171.110617707173,-2.12857573369735,0.780534532322843,-2.72707439011416,0.0063898631555487,0.0294137967632763,"AAAS","8086"
826.572083108544,-0.402540800335516,0.232051696615272,-1.73470311231081,0.082793404762692,0.196152589598062,"AACS","65985"
25.4490032484527,0.535315959103214,1.03353541008217,0.517946413718572,0.60449565747354,0.743120179728685,"AACSP1","729522"
2.47920461335247,3.22593013238272,2.23312724453731,1.44457963166856,0.148575997380981,NA,"AADAC","13"
46.6117845591094,0.462306540221922,1.12721586855897,0.410131327207924,0.681709613315172,0.800364551442143,"AADACL2","344752"
8.65255166901759,2.82378867259442,1.49450278468574,1.88945025832669,0.0588315219368423,0.154762128768958,"AADACL3","126767"
37.5551707048649,0.216512475878018,0.818273143971404,0.264596825000509,0.791320066269026,0.874845173557044,"AADACP1","201651"
67.8689009436521,-0.758168471240261,0.533036237497829,-1.42235821489219,0.154922286908663,0.301598832682593,"AADAT","51166"
557.04168743552,0.609227830608005,0.29646234965227,2.05499224883898,0.0398797533849554,0.118040707468365,"AAGAB","79719"
2354.48632042862,0.967145711829876,0.286370650363972,3.37725151163588,0.000732140711190403,0.00538656061191251,"AAK1","22848"
229.166713670189,-0.249288770158926,0.378761421202298,-0.658168324977795,0.510429975896785,0.666486922992372,"AAMDC","28971"
386.521868437603,-2.70972808347237,0.608146113654742,-4.45571881926182,8.36125623509434e-06,0.000142012721285295,"AAMP","14"
10.5480118011982,-0.344368346127084,1.38883391648516,-0.247955023303727,0.804169206431202,0.883274782562564,"AANAT","15"
470.689687269926,0.929375440936189,0.297049503267804,3.12868875629229,0.00175588192062986,0.0107694091131965,"AAR2","25980"
31.8220570423869,-1.53810220918,0.61235020836716,-2.51180156087702,0.0120116610672616,0.0478635910825392,"AARD","441376"
1072.55684578128,-0.6246820343801,0.288818013142619,-2.16289153014716,0.0305495233744343,0.0969157293257914,"AARS1","16"
290.277318550338,-1.22199958894134,0.399529911764757,-3.05859349439861,0.00222378676446166,0.012906276455427,"AARS2","57505"
